pitcher_id,pitcher_name,age,airOuts,atBats,avg,balks,baseOnBalls,battersFaced,blownSaves,catchersInterference,caughtStealing,caughtStealingPercentage,completeGames,doubles,earnedRuns,era,gamesFinished,gamesPitched,gamesPlayed,gamesStarted,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitBatsmen,hitByPitch,hits,hitsPer9Inn,holds,homeRuns,homeRunsPer9,inheritedRunners,inheritedRunnersScored,inningsPitched,intentionalWalks,losses,numberOfPitches,obp,ops,outs,pickoffs,pitchesPerInning,runs,runsScoredPer9,sacBunts,sacFlies,saveOpportunities,saves,shutouts,slg,stolenBasePercentage,stolenBases,strikeOuts,strikePercentage,strikeoutWalkRatio,strikeoutsPer9Inn,strikes,totalBases,triples,walksPer9Inn,whip,wildPitches,winPercentage,wins
681041,Marcelo Perez,25,6,35,.429,0,3,40,1,0,0,.000,0,4,15,18.41,0,5,5,2,1,5,0.83,2,2,15,18.41,1,2,2.45,0,0,7.1,0,3,149,.500,1.271,22,0,20.32,15,18.41,0,0,1,0,0,.771,1.000,2,9,.650,3.00,11.05,97,27,1,3.68,2.45,1,.000,0
701604,Andrew Lindsey,25,7,41,.341,0,6,50,0,0,1,.250,0,0,8,6.75,2,7,7,1,2,10,1.43,2,2,14,11.81,1,2,1.69,9,4,10.2,0,0,219,.440,.928,32,0,20.53,8,6.75,0,1,0,0,0,.488,.750,3,11,.560,1.83,9.28,123,20,0,5.06,1.88,1,1.000,2
692030,Jose Corniell,22,11,78,.333,0,7,88,0,1,0,.000,0,2,15,7.50,0,5,5,5,1,22,2.00,2,2,26,13.00,0,2,1.00,0,0,18.0,0,2,300,.402,.864,54,0,16.67,16,8.00,0,0,0,0,0,.462,1.000,6,19,.630,2.71,9.50,189,36,1,3.50,1.83,1,.333,1
815292,Luis Martinez-Gomez,22,5,34,.176,0,5,42,1,0,0,.000,0,0,4,3.86,1,7,7,1,0,8,1.60,2,2,6,5.79,0,2,1.93,2,0,9.1,0,1,172,.310,.663,28,0,18.43,4,3.86,0,1,2,1,0,.353,1.000,5,16,.630,3.20,15.43,108,12,0,4.82,1.18,1,.667,2
695569,Luke Hayden,22,1,10,.600,0,10,21,1,0,1,.500,0,0,7,31.50,0,4,4,0,0,2,2.00,1,1,6,27.00,1,0,0.00,2,2,2.0,0,1,102,.810,1.610,6,0,51.00,8,36.00,0,0,1,0,0,.800,.500,1,1,.440,0.10,4.50,45,8,1,45.00,8.00,2,.000,0
699823,Tyler Davis,26,6,48,.375,0,6,54,1,0,0,.000,0,1,9,7.59,5,9,9,0,1,6,1.00,0,0,18,15.19,1,2,1.69,0,0,10.2,0,0,218,.444,1.007,32,0,20.44,9,7.59,0,0,3,2,0,.563,1.000,2,18,.670,3.00,15.19,145,27,1,5.06,2.25,3,.---,0
808054,Yordin Chalas,21,5,31,.290,0,3,34,1,0,0,.000,0,2,2,2.35,2,8,8,0,1,8,1.60,0,0,9,10.57,1,0,0.00,3,3,7.2,0,0,132,.353,.708,23,0,17.22,2,2.35,0,0,2,1,0,.355,1.000,2,9,.640,3.00,10.57,84,11,0,3.52,1.57,1,1.000,1
808743,Bryce Jenkins,24,6,29,.207,0,10,40,1,0,1,.333,0,1,7,7.56,1,8,8,0,0,10,1.67,0,0,6,6.48,1,1,1.08,0,0,8.1,0,1,171,.410,.755,25,0,20.52,7,7.56,1,0,1,0,0,.345,.667,2,8,.530,0.80,8.64,91,10,0,10.80,1.92,1,.500,1
692243,Jaden Woods,23,8,46,.348,0,6,53,2,0,0,.000,0,3,7,6.52,4,9,9,0,1,11,1.38,1,1,16,14.90,0,3,2.79,8,5,9.2,0,2,215,.434,1.043,29,0,22.24,11,10.24,0,0,4,2,0,.609,1.000,1,11,.610,1.83,10.24,131,28,0,5.59,2.28,1,.000,0
695871,Jesús Broca,21,1,32,.188,1,5,38,0,0,0,.000,0,1,2,2.00,0,4,4,1,0,10,10.00,1,1,6,6.00,1,2,2.00,3,0,9.0,0,1,177,.316,.722,27,0,19.67,3,3.00,0,0,0,0,0,.406,1.000,1,15,.610,3.00,15.00,108,13,0,5.00,1.22,1,.500,1
801725,Luis De León,22,7,56,.179,0,12,69,0,0,1,1.000,0,4,5,2.76,0,5,5,5,3,18,2.57,0,0,10,5.51,0,0,0.00,0,0,16.1,0,0,291,.319,.569,49,0,17.82,6,3.31,0,1,0,0,0,.250,.000,0,22,.560,1.83,12.12,164,14,0,6.61,1.35,1,1.000,2
703596,Karson Milbrandt,21,7,47,.170,0,8,57,1,0,0,.000,0,0,7,4.73,0,5,5,2,1,9,1.29,2,2,8,5.40,0,2,1.35,0,0,13.1,0,1,245,.316,.614,40,0,18.38,7,4.72,0,0,1,0,0,.298,1.000,3,23,.620,2.88,15.53,151,14,0,5.40,1.20,3,.500,1
814106,Cade Denton,23,7,46,.152,0,4,51,1,0,1,1.000,0,0,5,3.46,0,7,7,0,1,14,2.00,1,1,7,4.85,1,1,0.69,10,2,13.0,0,1,208,.235,.452,39,0,16.00,5,3.46,0,0,1,0,0,.217,.000,0,18,.620,4.50,12.46,128,10,0,2.77,0.85,1,.500,1
694725,Michael Fowler,22,6,24,.167,0,5,29,0,0,0,.000,0,1,0,0.00,3,6,6,0,0,6,1.00,0,0,4,5.14,2,0,0.00,0,0,7.0,0,1,121,.310,.518,21,0,17.29,1,1.29,0,0,1,1,0,.208,1.000,1,8,.540,1.60,10.29,65,5,0,6.43,1.29,0,.000,0
681410,Connor McCullough,25,5,26,.231,0,3,30,1,0,0,.000,0,1,9,12.79,0,3,3,0,0,6,1.20,1,1,6,8.53,0,2,2.84,0,0,6.1,0,2,126,.333,.833,19,0,19.89,10,14.21,0,0,1,0,0,.500,1.000,1,9,.570,3.00,12.79,72,13,0,4.26,1.42,1,.000,0
691028,Nate Wohlgemuth,24,5,32,.469,0,13,47,0,0,1,.333,0,2,17,24.16,4,8,8,0,0,7,1.40,1,1,15,21.32,0,2,2.84,8,2,6.1,0,1,177,.617,1.336,19,0,27.95,17,24.16,0,1,1,1,0,.719,.667,2,6,.500,0.46,8.53,89,23,0,18.47,4.42,6,.000,0
701908,David Hagaman,22,7,45,.244,0,7,52,0,0,0,.000,0,4,6,4.50,0,5,5,4,2,13,1.86,0,0,11,8.25,0,1,0.75,0,0,12.0,0,2,216,.346,.746,36,0,18.00,7,5.25,0,0,0,0,0,.400,1.000,2,14,.590,2.00,10.50,128,18,0,5.25,1.50,0,.000,0
